#SNAME	SCANTYPE	FRAME	LONGITUDE	LATITUDE	DATETIME	SIDEREALTIME
C/2012	TLESCAN	EQ	16:03:39.09	-22:48:25.1	2013/11/28 06:15:15	11:21:30.54
C/2012	TLESCAN	EQ	16:03:39.17	-22:48:25.1	2013/11/28 06:15:20	11:21:34.56
C/2012	TLESCAN	EQ	16:03:39.26	-22:48:25.1	2013/11/28 06:15:24	11:21:39.57
C/2012	TLESCAN	EQ	16:03:39.33	-22:48:25.1	2013/11/28 06:15:28	11:21:43.58
C/2012	TLESCAN	EQ	16:03:39.40	-22:48:25.1	2013/11/28 06:15:32	11:21:47.59
C/2012	TLESCAN	EQ	16:03:39.47	-22:48:25.1	2013/11/28 06:15:36	11:21:51.60
C/2012	TLESCAN	EQ	16:03:39.55	-22:48:25.1	2013/11/28 06:15:40	11:21:55.61
C/2012	TLESCAN	EQ	16:03:39.62	-22:48:25.0	2013/11/28 06:15:44	11:21:59.62
C/2012	TLESCAN	EQ	16:03:39.69	-22:48:25.0	2013/11/28 06:15:48	11:22:03.64
C/2012	TLESCAN	EQ	16:03:39.76	-22:48:25.0	2013/11/28 06:15:52	11:22:07.65
C/2012	TLESCAN	EQ	16:03:39.83	-22:48:25.0	2013/11/28 06:15:56	11:22:11.66
C/2012	TLESCAN	EQ	16:03:39.91	-22:48:25.0	2013/11/28 06:16:01	11:22:15.67
C/2012	TLESCAN	EQ	16:03:40.00	-22:48:25.0	2013/11/28 06:16:06	11:22:20.68
C/2012	TLESCAN	EQ	16:03:40.09	-22:48:25.0	2013/11/28 06:16:11	11:22:25.70
C/2012	TLESCAN	EQ	16:03:40.18	-22:48:25.0	2013/11/28 06:16:15	11:22:30.71
C/2012	TLESCAN	EQ	16:03:40.25	-22:48:25.0	2013/11/28 06:16:20	11:22:34.72
C/2012	TLESCAN	EQ	16:03:40.34	-22:48:25.0	2013/11/28 06:16:25	11:22:39.73
C/2012	TLESCAN	EQ	16:03:40.43	-22:48:25.0	2013/11/28 06:16:30	11:22:44.75
C/2012	TLESCAN	EQ	16:03:40.52	-22:48:25.0	2013/11/28 06:16:34	11:22:49.76
C/2012	TLESCAN	EQ	16:03:40.59	-22:48:24.9	2013/11/28 06:16:38	11:22:53.77
C/2012	TLESCAN	EQ	16:03:40.67	-22:48:24.9	2013/11/28 06:16:42	11:22:57.78
C/2012	TLESCAN	EQ	16:03:40.74	-22:48:24.9	2013/11/28 06:16:47	11:23:01.79
C/2012	TLESCAN	EQ	16:03:40.83	-22:48:24.9	2013/11/28 06:16:52	11:23:06.81
C/2012	TLESCAN	EQ	16:03:40.92	-22:48:24.9	2013/11/28 06:16:57	11:23:11.82
C/2012	TLESCAN	EQ	16:03:41.01	-22:48:24.9	2013/11/28 06:17:02	11:23:16.83
C/2012	TLESCAN	EQ	16:03:41.10	-22:48:24.9	2013/11/28 06:17:06	11:23:21.85
C/2012	TLESCAN	EQ	16:03:41.17	-22:48:24.9	2013/11/28 06:17:11	11:23:25.86
C/2012	TLESCAN	EQ	16:03:41.26	-22:48:24.9	2013/11/28 06:17:16	11:23:30.87
C/2012	TLESCAN	EQ	16:03:41.35	-22:48:24.9	2013/11/28 06:17:21	11:23:35.89
C/2012	TLESCAN	EQ	16:03:41.44	-22:48:24.9	2013/11/28 06:17:25	11:23:40.90
C/2012	TLESCAN	EQ	16:03:41.51	-22:48:24.9	2013/11/28 06:17:30	11:23:44.91
C/2012	TLESCAN	EQ	16:03:41.60	-22:48:24.8	2013/11/28 06:17:35	11:23:49.93
C/2012	TLESCAN	EQ	16:03:41.70	-22:48:24.8	2013/11/28 06:17:40	11:23:54.94
C/2012	TLESCAN	EQ	16:03:41.79	-22:48:24.8	2013/11/28 06:17:45	11:23:59.95
C/2012	TLESCAN	EQ	16:03:41.88	-22:48:24.8	2013/11/28 06:17:49	11:24:04.97
C/2012	TLESCAN	EQ	16:03:41.95	-22:48:24.8	2013/11/28 06:17:54	11:24:08.98
C/2012	TLESCAN	EQ	16:03:42.04	-22:48:24.8	2013/11/28 06:17:59	11:24:13.99
C/2012	TLESCAN	EQ	16:03:42.13	-22:48:24.8	2013/11/28 06:18:04	11:24:19.00
C/2012	TLESCAN	EQ	16:03:42.22	-22:48:24.8	2013/11/28 06:18:08	11:24:24.02
C/2012	TLESCAN	EQ	16:03:42.29	-22:48:24.8	2013/11/28 06:18:12	11:24:28.03
C/2012	TLESCAN	EQ	16:03:42.36	-22:48:24.8	2013/11/28 06:18:16	11:24:32.04
C/2012	TLESCAN	EQ	16:03:42.44	-22:48:24.8	2013/11/28 06:18:20	11:24:36.05
C/2012	TLESCAN	EQ	16:03:42.51	-22:48:24.7	2013/11/28 06:18:24	11:24:40.06
C/2012	TLESCAN	EQ	16:03:42.58	-22:48:24.7	2013/11/28 06:18:28	11:24:44.07
C/2012	TLESCAN	EQ	16:03:42.65	-22:48:24.7	2013/11/28 06:18:32	11:24:48.08
C/2012	TLESCAN	EQ	16:03:42.73	-22:48:24.7	2013/11/28 06:18:36	11:24:52.10
C/2012	TLESCAN	EQ	16:03:42.80	-22:48:24.7	2013/11/28 06:18:40	11:24:56.11
C/2012	TLESCAN	EQ	16:03:42.87	-22:48:24.7	2013/11/28 06:18:44	11:25:00.12
C/2012	TLESCAN	EQ	16:03:42.94	-22:48:24.7	2013/11/28 06:18:48	11:25:04.13
C/2012	TLESCAN	EQ	16:03:43.02	-22:48:24.7	2013/11/28 06:18:52	11:25:08.14
C/2012	TLESCAN	EQ	16:03:43.09	-22:48:24.7	2013/11/28 06:18:56	11:25:12.15
C/2012	TLESCAN	EQ	16:03:43.16	-22:48:24.7	2013/11/28 06:19:01	11:25:16.16
C/2012	TLESCAN	EQ	16:03:43.25	-22:48:24.7	2013/11/28 06:19:06	11:25:21.17
C/2012	TLESCAN	EQ	16:03:43.34	-22:48:24.7	2013/11/28 06:19:11	11:25:26.19
C/2012	TLESCAN	EQ	16:03:43.43	-22:48:24.6	2013/11/28 06:19:15	11:25:31.20
C/2012	TLESCAN	EQ	16:03:43.50	-22:48:24.6	2013/11/28 06:19:20	11:25:35.21
C/2012	TLESCAN	EQ	16:03:43.59	-22:48:24.6	2013/11/28 06:19:25	11:25:40.23
C/2012	TLESCAN	EQ	16:03:43.68	-22:48:24.6	2013/11/28 06:19:30	11:25:45.24
C/2012	TLESCAN	EQ	16:03:43.77	-22:48:24.6	2013/11/28 06:19:34	11:25:50.25
C/2012	TLESCAN	EQ	16:03:43.85	-22:48:24.6	2013/11/28 06:19:38	11:25:54.26
C/2012	TLESCAN	EQ	16:03:43.92	-22:48:24.6	2013/11/28 06:19:42	11:25:58.28
C/2012	TLESCAN	EQ	16:03:43.99	-22:48:24.6	2013/11/28 06:19:47	11:26:02.29
C/2012	TLESCAN	EQ	16:03:44.08	-22:48:24.6	2013/11/28 06:19:52	11:26:07.30
C/2012	TLESCAN	EQ	16:03:44.17	-22:48:24.6	2013/11/28 06:19:57	11:26:12.31
C/2012	TLESCAN	EQ	16:03:44.26	-22:48:24.6	2013/11/28 06:20:01	11:26:17.33
C/2012	TLESCAN	EQ	16:03:44.34	-22:48:24.5	2013/11/28 06:20:06	11:26:21.34
C/2012	TLESCAN	EQ	16:03:44.43	-22:48:24.5	2013/11/28 06:20:11	11:26:26.35
C/2012	TLESCAN	EQ	16:03:44.52	-22:48:24.5	2013/11/28 06:20:16	11:26:31.37
C/2012	TLESCAN	EQ	16:03:44.61	-22:48:24.5	2013/11/28 06:20:21	11:26:36.38
C/2012	TLESCAN	EQ	16:03:44.70	-22:48:24.5	2013/11/28 06:20:25	11:26:41.39
C/2012	TLESCAN	EQ	16:03:44.77	-22:48:24.5	2013/11/28 06:20:30	11:26:45.40
C/2012	TLESCAN	EQ	16:03:44.86	-22:48:24.5	2013/11/28 06:20:35	11:26:50.42
C/2012	TLESCAN	EQ	16:03:44.95	-22:48:24.5	2013/11/28 06:20:40	11:26:55.43
C/2012	TLESCAN	EQ	16:03:45.04	-22:48:24.5	2013/11/28 06:20:44	11:27:00.45
C/2012	TLESCAN	EQ	16:03:45.11	-22:48:24.5	2013/11/28 06:20:49	11:27:04.46
C/2012	TLESCAN	EQ	16:03:45.20	-22:48:24.4	2013/11/28 06:20:54	11:27:09.47
C/2012	TLESCAN	EQ	16:03:45.29	-22:48:24.4	2013/11/28 06:20:59	11:27:14.48
C/2012	TLESCAN	EQ	16:03:45.38	-22:48:24.4	2013/11/28 06:21:04	11:27:19.50
C/2012	TLESCAN	EQ	16:03:45.48	-22:48:24.4	2013/11/28 06:21:08	11:27:24.51
C/2012	TLESCAN	EQ	16:03:45.55	-22:48:24.4	2013/11/28 06:21:12	11:27:28.52
C/2012	TLESCAN	EQ	16:03:45.62	-22:48:24.4	2013/11/28 06:21:16	11:27:32.53
C/2012	TLESCAN	EQ	16:03:45.69	-22:48:24.4	2013/11/28 06:21:20	11:27:36.54
C/2012	TLESCAN	EQ	16:03:45.77	-22:48:24.4	2013/11/28 06:21:24	11:27:40.56
C/2012	TLESCAN	EQ	16:03:45.84	-22:48:24.4	2013/11/28 06:21:28	11:27:44.57
C/2012	TLESCAN	EQ	16:03:45.91	-22:48:24.4	2013/11/28 06:21:32	11:27:48.58
C/2012	TLESCAN	EQ	16:03:45.98	-22:48:24.4	2013/11/28 06:21:36	11:27:52.59
C/2012	TLESCAN	EQ	16:03:46.05	-22:48:24.3	2013/11/28 06:21:40	11:27:56.60
C/2012	TLESCAN	EQ	16:03:46.13	-22:48:24.3	2013/11/28 06:21:44	11:28:00.61
C/2012	TLESCAN	EQ	16:03:46.20	-22:48:24.3	2013/11/28 06:21:48	11:28:04.62
C/2012	TLESCAN	EQ	16:03:46.27	-22:48:24.3	2013/11/28 06:21:52	11:28:08.63
C/2012	TLESCAN	EQ	16:03:46.34	-22:48:24.3	2013/11/28 06:21:56	11:28:12.64
C/2012	TLESCAN	EQ	16:03:46.42	-22:48:24.3	2013/11/28 06:22:01	11:28:16.65
C/2012	TLESCAN	EQ	16:03:46.51	-22:48:24.3	2013/11/28 06:22:06	11:28:21.67
